id,street,lon,lat
602651341,"""Floriana Straszewskiego""",19.9330284,50.0591272
2419367468,"""Floriana Straszewskiego""",19.9328445,50.0594883
2419367461,"""Floriana Straszewskiego""",19.9328795,50.0594163
3025253161,"""Floriana Straszewskiego""",19.9333403,50.0588689
3024563473,"""Floriana Straszewskiego""",19.9333073,50.0589771
3024563481,"""Floriana Straszewskiego""",19.9332456,50.0590909
2067207841,"""Podzamcze""",19.9348386,50.0553014
4068929788,"""Podzamcze""",19.9346877,50.0552693
2067207838,"""Podzamcze""",19.9335036,50.0550130
2067207837,"""Podzamcze""",19.9334617,50.0550074
236137518,"""Podzamcze""",19.9374784,50.0552981
2067207842,"""Podzamcze""",19.9373836,50.0553287
236138034,"""Podzamcze""",19.9372822,50.0553525
2067207844,"""Podzamcze""",19.9370356,50.0553878
273485828,"""Podzamcze""",19.9368011,50.0554177
273485828,"""Podzamcze""",19.9368011,50.0554177
278057680,"""Podzamcze""",19.9366899,50.0554329
3712371161,"""Podzamcze""",19.9365361,50.0554543
236137393,"""Podzamcze""",19.9362646,50.0554907
236140590,"""Podzamcze""",19.9360684,50.0555050
273485829,"""Podzamcze""",19.9358792,50.0555084
236138722,"""Podzamcze""",19.9357694,50.0554987
275178481,"""Podzamcze""",19.9356567,50.0554813
2067207841,"""Podzamcze""",19.9348386,50.0553014
236138215,"""Świętego Idziego""",19.9380119,50.0548159
2067207835,"""Świętego Idziego""",19.9379045,50.0548991
236137164,"""Świętego Idziego""",19.9378196,50.0549822
2067207840,"""Świętego Idziego""",19.9376930,50.0551204
236138465,"""Świętego Idziego""",19.9375724,50.0552411
236137518,"""Świętego Idziego""",19.9374784,50.0552981
3721726318,"""Świętego Idziego""",19.9386035,50.0543970
30375949,"""Świętego Idziego""",19.9383639,50.0545596
30375949,"""Świętego Idziego""",19.9383639,50.0545596
1159658822,"""Świętego Idziego""",19.9381933,50.0546675
236138215,"""Świętego Idziego""",19.9380119,50.0548159
236136675,"""Świętego Idziego""",19.9392260,50.0540981
3721726313,"""Świętego Idziego""",19.9390772,50.0542058
4069144700,"""Świętego Idziego""",19.9388713,50.0543527
2990670910,"""Świętego Idziego""",19.9384983,50.0546428
3721726318,"""Świętego Idziego""",19.9386035,50.0543970
5377839922,"""Świętego Idziego""",19.9389903,50.0541650
236136675,"""Świętego Idziego""",19.9392260,50.0540981
6643622515,"""Świętej Gertrudy""",19.9421312,50.0595854
2098694990,"""Świętej Gertrudy""",19.9419231,50.0594355
30372096,"""Świętej Gertrudy""",19.9412015,50.0589162
236136675,"""Świętej Gertrudy""",19.9392260,50.0540981
1159658757,"""Świętej Gertrudy""",19.9392784,50.0542151
2988265202,"""Świętej Gertrudy""",19.9393100,50.0542453
261677483,"""Świętej Gertrudy""",19.9396039,50.0544615
261677484,"""Świętej Gertrudy""",19.9398604,50.0546681
2418766232,"""Świętej Gertrudy""",19.9399294,50.0547712
1159658824,"""Świętej Gertrudy""",19.9399670,50.0549020
4069144706,"""Świętej Gertrudy""",19.9399909,50.0549987
4985735574,"""Świętej Gertrudy""",19.9401071,50.0554697
278192363,"""Świętej Gertrudy""",19.9401805,50.0557669
2992265531,"""Świętej Gertrudy""",19.9401969,50.0558321
3035194229,"""Świętej Gertrudy""",19.9402720,50.0561385
2988265209,"""Świętej Gertrudy""",19.9402973,50.0562416
3035194231,"""Świętej Gertrudy""",19.9403124,50.0563022
3035194232,"""Świętej Gertrudy""",19.9403718,50.0565411
2992364806,"""Świętej Gertrudy""",19.9404616,50.0569018
277498879,"""Świętej Gertrudy""",19.9404786,50.0569704
6982585314,"""Świętej Gertrudy""",19.9405945,50.0574442
2418766242,"""Świętej Gertrudy""",19.9406300,50.0575895
3035194939,"""Świętej Gertrudy""",19.9407275,50.0579917
261677500,"""Świętej Gertrudy""",19.9408044,50.0583090
261677501,"""Świętej Gertrudy""",19.9408673,50.0584571
1940976726,"""Świętej Gertrudy""",19.9409686,50.0586606
1940976728,"""Świętej Gertrudy""",19.9410283,50.0587533
